ID,x,y,z
96,-0.852830189,-0.045283019,0.313207547
97,-0.841509434,-0.01509434,0.328301887
98,-0.830188679,0.022641509,0.347169811
99,-0.818867925,0.056603774,0.366037736
100,-0.80754717,0.094339623,0.381132075
101,-0.796226415,0.128301887,0.4
102,-0.78490566,0.166037736,0.41509434
103,-0.773584906,0.2,0.433962264
104,-0.762264151,0.237735849,0.452830189
105,-0.750943396,0.271698113,0.467924528
106,-0.739622642,0.309433962,0.486792453
107,-0.728301887,0.347169811,0.501886792
108,-0.773584906,0.154716981,0.267924528
109,-0.886792453,0.316981132,0.2
110,-1,0.581132075,0.343396226
111,-0.916981132,0.603773585,0.105660377
112,-0.788679245,0.316981132,0.109433962
113,-0.569811321,0.445283019,0.283018868
114,-0.618867925,0.475471698,0.162264151
115,-0.6,0.486792453,0.177358491
116,-0.58490566,0.501886792,0.19245283
117,-0.569811321,0.516981132,0.20754717
118,-0.550943396,0.528301887,0.222641509
119,-0.535849057,0.543396226,0.237735849
120,-0.520754717,0.558490566,0.252830189
121,-0.505660377,0.573584906,0.264150943
122,-0.713207547,0.664150943,0.433962264
123,-0.562264151,0.437735849,0.652830189
124,-0.630188679,0.626415094,0.905660377
125,-0.516981132,0.38490566,1.049056604
126,-0.698113208,0.490566038,1.150943396
127,-0.418867925,0.41509434,1.260377358
128,-0.596226415,0.4,1.301886792
129,-0.566037736,0.309433962,1.196226415
130,-0.539622642,0.222641509,1.090566038
131,-0.471698113,0.279245283,1.188679245
132,-0.267924528,0.026415094,1.154716981
133,-0.267924528,0.030188679,1.162264151
134,-0.267924528,0.033962264,1.166037736
135,-0.271698113,0.037735849,1.169811321
136,-0.271698113,0.041509434,1.173584906
137,-0.275471698,0.045283019,1.181132075
138,-0.275471698,0.049056604,1.18490566
139,-0.279245283,0.052830189,1.188679245
140,-0.279245283,0.056603774,1.19245283
141,-0.283018868,0.060377358,1.196226415
142,-0.056603774,0.030188679,1.377358491
143,-0.188679245,-0.124528302,1.249056604
144,-0.226415094,-0.003773585,1.2
145,-0.230188679,0.079245283,1.116981132
146,-0.233962264,0.166037736,1.033962264
147,-0.241509434,0.252830189,0.947169811
148,-0.245283019,0.339622642,0.864150943
149,-0.249056604,0.422641509,0.781132075
150,-0.256603774,0.509433962,0.694339623
151,-0.260377358,0.596226415,0.611320755
152,-0.267924528,0.683018868,0.524528302
153,-0.426415094,0.909433962,0.516981132
154,-0.305660377,0.920754717,0.222641509
155,-0.279245283,0.909433962,0.218867925
156,-0.256603774,0.901886792,0.21509434
157,-0.230188679,0.890566038,0.211320755
158,-0.20754717,0.883018868,0.203773585
159,-0.18490566,0.871698113,0.2
160,-0.158490566,0.864150943,0.196226415
161,-0.135849057,0.852830189,0.188679245
162,-0.109433962,0.845283019,0.18490566
163,-0.086792453,0.833962264,0.181132075
164,-0.064150943,0.826415094,0.173584906
165,-0.037735849,0.81509434,0.169811321
166,-0.01509434,0.80754717,0.166037736
167,0.011320755,0.8,0.158490566
168,0.033962264,0.788679245,0.154716981
169,0.056603774,0.781132075,0.150943396
170,0.079245283,0.769811321,0.143396226
171,0.101886792,0.762264151,0.139622642
172,0.128301887,0.750943396,0.135849057
173,0.150943396,0.743396226,0.132075472
174,0.177358491,0.732075472,0.124528302
175,0.2,0.724528302,0.120754717
176,0.222641509,0.713207547,0.116981132
177,0.249056604,0.705660377,0.109433962
178,0.271698113,0.698113208,0.105660377
179,0.298113208,0.686792453,0.101886792
180,0.320754717,0.679245283,0.094339623
181,0.343396226,0.667924528,0.090566038
182,0.369811321,0.660377358,0.086792453
183,0.39245283,0.649056604,0.079245283
184,0.418867925,0.641509434,0.075471698
